id	orderId	productId	pastelCode	pastelDescription	qty	price	orderDetailId	comment	offLoadComment	returnQty	Uploaded	blnoffloaded	strCustomerReason	blnTruckchecked	wareHouseName
1	380061	7345	WC001	SMILEY SNACKS MIXED BAL 50x22g	2	63.82	1477819				1	0		0	001
2	380061	7345	WC001	SMILEY SNACKS MIXED BAL 50x22g	2	63.82	1477819				1	0		0	001
3	376911	6797	DRC2503C-1	KENT MENT.MILD (KH)  FT 10x20s	1	398.65	1462692				1	0		0	001
4	376911	6803	DRC5003-1	BOXER TOBACCO  OP     10x12.5g	1	426.05	1462693				1	0		0	001
5	376911	4769	PCS5880-1	FUSION 5LT PEACH&APRICOT    x2	1	469.2	1462694				1	0		0	001
6	377652	1834	CMD	HAMPER NT                   1s	1	35	1466409				1	0		0	001
7	377652	3696	SPP01	INFACARE NO1            3x900g	1	42	1466410				1	0		0	001
8	377652	5639	DISP9	G CLOUD BREAD FLR WHT  4x2.5kg	1	271.5	1466411				1	0		0	001
9	377652	5638	DISP8	G CLOUD CAKE FLOUR        10kg	1	220	1466412				1	0		0	001
10	380027	5114	1968	PURITY 1 BUTTERNUT    4x6x80ml	1	450.2	1477713				1	0		0	001
11	ID0I876898	5722	G004	ENERGADE ORANGE      4x6x500ml	1	35	1478253				1	0		0	001
12	380074	3384	JAM038	BEACON SLAB TVBARWHTE    6x80g	2	65.85	1477859				1	0		0	001
13	380074	8305	PBT005	CAPPY JUICE MAN/ORAN   6x330ml	2	96.65	1477860				1	0		0	001
14	380265	5536	CB4Y-008	EVERYDAY TOMATOE PUREE 12x410g	2	160	1478545				1	0		0	001
15	380265	9869	500181	KOTEX MAXI WHITE NORM/W 16x10s	2	250	1478546				1	0		0	001
16	380199	618	DRC5003-2	MENTOS FR/ACT GUM CHERRY45x50s	100	1.3	1478355				1	0		0	001
17	380199	8993	CBP1166-1	HULETTS TUBE 5g BROWN   x1000s	1	40.5	1478408				1	0		0	001
18	380199	9875	500181-1	JIK LEMON              6x500ml	1	25	1478409				1	0		0	001
19	380071	713	FG/S-53-1	H2O WATER SACHET      50x100ml	2	315.8	1477850				1	0		0	001
20	379932	5529	CB119-1	BEACON FIZZ DUBB STR&APP 1x24s	40	28	1477295				1	0		0	001
21	379932	9875	500181-1	JIK LEMON              6x500ml	40	25	1477296				1	0		0	001
22	379932	1834	CMD	HAMPER NT                   1s	10	29.9	1477297				1	0		0	001
23	379932	4223	8580P-4	DRINK O POP R/BERRY   10x200ml	5	18.6	1477298				1	0		0	001
24	379866	2435	TT08	AQUAFRESH T/BRUSH CARD 10x6x1s	6	39	1477110				1	0		0	001
25	376169	3768	ZIP4-1	CRINKLES CHEEKY CH&ON. 18x125g	1	15.65	1459703				1	0		0	001
26	376169	3764	ZIP2-1	ENGEN BRAKE FLUID DOTD 1x500ML	1	11.25	1459704				1	0		0	001
27	376169	3776	ZIP8-1	GOLD 'N CRISPY-BBQ        200g	1	36.35	1459705				1	0		0	001
28	376169	3767	ZIP4	ENGEN MOTOR OIL SAE 40   1x5lt	1	138.95	1459706				1	0		0	001
29	376169	3763	ZIP2	KELLOGGS COCO POPS      4x350g	1	100.95	1459707				1	0		0	001
30	376169	3775	ZIP8	GOLD 'N CRISPY-AROMAT     200g	1	322.95	1459708				1	0		0	001
31	376584	3939	1928001	BAKERS ROYAL CREAMS     3x280g	1	550	1461568				1	0		0	001
32	376477	1914	DUX-BLL750	KNORROX CUBES CHICKEN    40x2s	6	10.2	1461393				1	0		0	001
33	376477	8880	716	NUTRIDAY SM BERRY/MEDLY 6x100g	3	9.52	1461394				1	0		0	001
34	376477	3288	DUX-GERMR750	BAKERS NUTTIKRUST       4x200g	6	20.59	1461395				1	0		0	001
35	376477	8367	SANT05	CLOSE UP RED HOT        12x30g	6	101.25	1461396				1	0		0	001
36	376477	2700	200197	AROMAT CANNISTERS CHSE  10x75g	6	22.1	1461397				1	0		0	001
37	376477	1571	500066	STUYVESANT EVOLVE GOLD  10x20s	6	171.5	1461398				1	0		0	001
38	378242	2034	FL7	LAXADOR TAB             12x30s	1	202.45	1469454				1	0		0	001
39	378300	1370	16015	COKE CAN 300 LEMON TWIST   x24	20	42.8	1469595				1	0		0	001
40	378035	1370	16015	COKE CAN 300 LEMON TWIST   x24	16	42.8	1468832				1	0		0	001
41	378112	1217	006521-2	PAKCO VEG ATCHAR MILD  12x385g	12	77.7	1469015				1	0		0	001
42	378112	1370	16015	COKE CAN 300 LEMON TWIST   x24	12	42.8	1469016				1	0		0	001
43	378116	9854	MAY2001	BUTCH CHICKEN           6x420g	60	7.05	1469018				1	0		0	001
44	378151	444	ANTCH05	O'YA SOUR FIZZY GRAPE    1x50s	5	69.95	1469108				1	0		0	001
45	378242	2035	FL7-1	ACE INST/PORR.CARAMEL   10x1kg	1	21.63	1469453				1	0		0	001
46	377868	4133	530025	NIVEA SHOWER CL/KICK(M)6x250ml	2	38.85	1468320				1	0		0	001
